en,zh-hant,zh-hans
computer code,計算機碼,
computer communication,計算機通訊,
computer complex,計算機複合系統,
computer conference,計算機會議,
computer configuration,電腦組態,
computer control,計算機控制,計算機控制
computer controlled manufacture system,電腦控制的製造系統,
computer controlled telegraph switching,電腦控制電報交換,
computer crime,計算機犯罪；電腦犯罪,計算機犯罪
computer cryptology,電腦密碼術,計算機密碼學
computer culture,電腦文化,
computer data,電腦資料,計算機數據
computer dependent language,電腦相依語言,
computer design language,電腦設計語言,
computer direct to telegraph,計算機控制電報機,
computer directed communication,計算機導引通信,
computer display,電腦顯示,計算機顯示
computer draft,電腦製圖,計算機制圖
computer education system,計算機教育系統,
computer efficiency,電腦效率,
computer emergency response team,電腦緊急回應小組,
computer engineering,計算機工程,計算機工程
computer espionage,電腦間諜,計算機間諜
computer fraud,電腦詐欺,計算機詐騙
computer generated art,電腦產生的藝術,
computer generated graphics,電腦生成圖形,
computer generated hologram,電腦產生的全像,
computer generations,電腦世代,計算機代
computer graphics interface,電腦圖形介面,
computer graphics metafile,電腦圖形元檔案,
computer graphics,計算機圖學；電腦圖形,計算機圖形學
computer hardware,計算機硬體,計算機硬件
computer hobbyist,計算機業餘愛好者,
computer hologram,計算機全像,
computer holography,計算機全像術,
computer hospital care,計算機醫院護理,
computer hospital nursing,計算機醫院護理,
computer human interaction,計算機與人的交互作用,
computer hybrids,計算機併合電路,
computer identification,計算機身份識別,
computer image generator,計算機影像產生器,
computer image processing,計算機影像處理,
computer implementation,計算機實施,計算機實現
computer industry,計算機工業,計算機產業
computer industry association,計算機工業協會,
computer input from microfilm,計算機輸入微縮膠卷,
computer input microfilm,計算機輸入微縮膠卷,
computer installation,計算機安裝,
computer instruction,計算機指令,
computer instruction code,電腦指令碼,
computer instruction set,計算機指令集,
computer insurance,計算機保險,
computer integrated,電腦整合,
computer integrated design,電腦整合設計,
computer integrated engineering,電腦整合工程,
computer integrated manufacturing system,電腦整合製造系統,計算機集成制造系統
computer integrated manufacturing,電腦整合製造,計算機集成制造
computer intelligence,計算機智慧,
computer interface,計算機介面,
computer interface engineering,計算機介面工程,
computer interface terminal,計算機介面終端,
computer interface unit,計算機介面裝置,
computer language,電腦語言；計算機語言；機器語言,計算機語言
computer language recorder,計算機語言記錄器,
computer language symbol,計算機語言符號,
computer language translator,計算機語言翻譯器,
computer language translator identifier,計算機語言翻譯器識別符,
computer learning,計算機學習,
computer limited,受電腦限制的,
computer link method,計算機鏈接法,
computer literacy,電腦素養,
computer load,電腦負載,
computer load simulator,電腦負載模擬器,
computer logic,電腦邏輯,
computer logic circuit,電腦邏輯電路,
computer logic demonstrator,電腦邏輯器；示範,
computer logic graphics,電腦邏輯圖學,
computer logic unit tester,電腦邏輯單元測試器,
computer magnetic tape,計算機磁帶,
computer mail,計算機郵件,
computer main frequency,計算機主頻,
computer maintenance and management,計算機維護與管理,計算機維護與管理
computer managed instruction,電腦管理教學；電腦管理指令,
computer managed learning,電腦管理的學習,
computer management,計算機管理,計算機管理
computer management association,計算機管理協會,
computer manager,計算機管理器,
computer matching,計算機匹配,
computer memory,計算機記憶體,
computer memory interconnect,計算機記憶體互連,
computer memory structure,計算機記憶體結構,
computer memory tester,計算機記憶體測試器,
computer memory unit,計算機記憶體單元,
computer message transmission,計算機訊息傳輸,
computer micrographics,電腦微圖形,
computer micrographics technology,電腦微圖形技術,
computer mode,計算機模式,
computer model,計算機模型,
computer module,計算機模組,
computer monitoring system,計算機監視系統,
原文,臺灣用語,大陸用語
computer music,電腦音樂,
computer name,電腦名稱,
computer naughty,電腦玩童,
computer network,計算機網路；電腦網路,計算機網絡
computer network component,計算機網路組件,
computer network facilities,電腦網路設施,
computer network facility,計算機網路設施,
computer network protocol,計算機網路協定,
computer networking,計算機網路連結,
computer numerical control,計算機數值控制,計算機數控
k,千,
k out of n system,n中取k系統,
